Title,Status,Graphics,Setting,Subscription Model,Initial release date,Discontinued date,Distribution,Notes
Star Wars: The Old Republic,Active,3D,Science fiction,Freemium,2011,[empty],Standalone,Spiritual sequel of 2003's Game of the year Star Wars: Knights of the Old Republic  formerly pay-to-play
Stellar Dawn,Development paused,3D,Science fiction,[empty],[empty],[empty],[empty],Development started back in 2006 as Mechscape  which was scrapped in 2009. In 2010 Stellar Dawn was announced  though in March 2012 the development was paused so the developer  Jagex  could focus on their other games.
Tabula Rasa,Closed,3D,Science Fiction,Pay-to-play,2007,2009,[empty],[empty]
A Tale in the Desert,Active,3D,Mythology (Egyptian),Pay-to-play,2003,[empty],Standalone,Non-combat-oriented RPG
Tales of Pirates,[empty],3D,Fantasy (Maritime),Free-to-play,2007,2016-29-02,[empty],During 2010 server data was transferred to a revamped client called Tales of Pirates II
TERA: Rising,Active,3D,Fantasy,Freemium,2011,[empty],Steam,Manual aim action combat (True Action combat)
Terra,[empty],3D,Science fiction,Free-to-play,1996,[empty],[empty],[empty]
Tibia,Active,2D (sprite-based; overhead),Fantasy,Free-to-play,1997,[empty],[empty],Downloadable client (Windows  Linux).
Toontown Online,[empty],3D,Fantasy,Freemium,2003,2013-09-19,[empty],MMORPG designed for children
Trove,Active,3D,Fantasy  Cartoon,Freemium,2013,[empty],[empty],[empty]
Twelve Sky,[empty],3D,Fantasy,Free-to-play,2007,[empty],[empty],[empty]
Twelve Sky 2,[empty],3D,Fantasy,Free-to-play,2008,[empty],[empty],[empty]
Ultima Online,Active,2D/3D,Medieval fantasy,Free-to-play,1997,[empty],[empty],The term MMORPG was first coined by Ultima Online creator Richard Garriott in 1997.[7]
Uncharted Waters Online,[empty],3D,Historical (maritime),Pay-to-play,2005,[empty],[empty],[empty]
Underlight,[empty],3D,Fantasy (Dream),Free-to-play,1998,[empty],[empty],Original servers were shutdown December 2006. Recently re-launched in September 2014 by KoiWare.
Vanguard: Saga of Heroes,[empty],3D,Fantasy,Pay-to-play,2007-01-30,2014-07-31,[empty],[empty]
Vendetta Online,[empty],3D,Science fiction,Pay-to-play,2004,[empty],[empty],Space vehicle piloting and twitch-based interface
Vindictus,Active,3D,Fantasy (Celtic),Free-to-play,2010,[empty],Steam,Manual aim action combat
Voyage Century Online,[empty],3D,Historical (maritime),Free-to-play,2006,[empty],[empty],[empty]
Wakfu,[empty],2D (isometric),Fantasy,Freemium,2012,[empty],[empty],Downloadable client (Windows  Mac  Linux). Tactical combat.
Warhammer Online: Age of Reckoning,Closed,3D,Fantasy,Freemium,2008,2013-12-18,[empty],[empty]
