[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Picasa*,Efficient image organizer with basic editing tools  other image effects,Google,2002,3.9.141.259,October 9  2015,Discontinued,Freeware
PicMaster,Has 300 filter effects  slide show  poster printing  mosaics  true 3D  more,Alexander Sabov,December 1999,4.03,[empty],[empty],Proprietary
Pinta,Mid-level Free and Open Source raster graphics editor  based on Paint.Net,Jonathan Pobst,February 7  2010,1.5,[empty],[empty],MIT
PixBuilder Photo Editor,[empty],WnSoft Graphic Software,June 2005,1.31,[empty],[empty],Proprietary
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,September 25  2007,3.0,[empty],[empty],Proprietary
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,[empty],3.8,[empty],[empty],Proprietary
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,1998,4.70d,[empty],[empty],Proprietary
PMview,Fast image viewer with basic editing functions,Peter Nielsen,1992},3.80 (2017),[empty],[empty],Proprietary
Project Dogwaffle,Dan Ritchie retired but others continue active development[6],Dan Ritchie,1997,2011 (7.0) (1.2 available as freeware),[empty],[empty],Proprietary
QFX,Mature and complete image editing package,Ron Scott,1990,8,[empty],[empty],Proprietary
Rawstudio,Raw image processor.,Anders Brander & Anders Kvist,June 22  2006,2.0,[empty],[empty],GPL 2
RawTherapee,Powerful free and cross-platform raw image editor  for developing raw photos from digital cameras.,Gabor Horvath,September 21  2006,4.0.11,[empty],[empty],GPL
Seashore,Basic counterpart to GIMP  using its XCF format; full support for a few graphics formats,Mark Pazolli,June 2007,0.1.9,[empty],[empty],GPLv3
Serif PhotoPlus,Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart  effects  public domain image library; made for easy use,Serif,1999,X8,August 10  2015,[empty],Proprietary
Shotwell,Image organizer for GNOME,Yorba Foundation,June 26  2009,0.12.3,[empty],[empty],LGPL 2.1
Tux Paint,Drawing program for young children.,Bill Kendrick,June 16  2002,0.9.21,[empty],[empty],GPL
TVPaint,2D animation software,Herve ADAM,June 16  1991,9.5.11,[empty],[empty],Proprietary
UFRaw,Raw image format processor,Udi Fuchs,[empty],0.22,[empty],[empty],GPL
Ulead PhotoImpact*,[empty],Ulead Systems,[empty],12,[empty],[empty],Proprietary
Ultimate Paint*,Basic graphics editor based on Deluxe Paint,Joseph Ladanyi  Daniel Szabo,1998,2.88,[empty],[empty],Proprietary
WinImages,Animation-centric,Black Belt Systems,1985,7.5,[empty],[empty],Proprietary
Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,1995 (Windows),9,[empty],[empty],Proprietary
XnView,Cross-platform image viewer used for converting  organising and editing graphical & video files.,Pierre-emmanuel Gougelet,1998 (1.06),2.20 (Windows)/0.64 (Linux  macOS),[empty],[empty],Proprietary
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,David Koblas  Torsten Martinsen  Jean-Pierre Demailly,1993,2.9.10.3,[empty],[empty],Custom free license
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,[empty],11.0 build 8,[empty],[empty],Proprietary
