Distribution,x86,x86-64,ia64,ppc[62],ppc64,sparc32,sparc64,arm,hppa[63],loongson,mips[64],sh,s390,s390x,alpha[65],m68k[66],riscv
SUSE Linux Enterprise Server[122],Yes,Yes,Yes,Yes,Yes,No,No,AArch64 only[123],No,No,No,No,No,Yes,No,No,[added]
Tor-ramdisk,Yes,Yes[124],No,No,No,No,No,No,No,No,Yes[125],No,No,No,No,No,[added]
Trisquel GNU/Linux,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[added]
TurnKey GNU/Linux,Selected ISOs available,Yes,No,No,No,No,No,No - but under development by community,No,No,No,No,No,No,No,No,[added]
Ubuntu/Kubuntu/Xubuntu/Lubuntu,Yes,Yes,No,Yes,Yes,No,No,Yes  including 64-bit ARMv8-A,No,No,No,No,No,No,No,No,[added]
Ututo,Yes,Yes,No,No,No,No,No,No,No,In progress,No,No,No,No,No,No,[added]
Void Linux,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
XBMCbuntu,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[added]
Yellow Dog Linux,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,[added]
Distribution,x86,x86-64,ia64,ppc,ppc64,sparc32,sparc64,arm,hppa,loongson,mips,sh,s390,s390x,alpha,m68k,riscv
