PDF,Portable Document Format,Adobe Systems,[empty],.pdf  .epdf,application/pdf,[empty],[empty]
PDN,Paint.NET Image,dotPDN LLC,[empty],.pdn,[empty],Preferred and supported by Paint.NET,[empty]
PEF,PENTAX RAW,PENTAX,TIFF,.pef,[empty],[empty],[empty]
PGF,Progressive Graphics File,xeraina GmbH,[empty],.pgf,[empty],Photographic images  eventual replacement for JPEG.,No
PGM,Portable Graymap File Format,[empty],[empty],.pgm,image/x-portable-graymap,[empty],No
PGML,Precision Graphics Markup Language,Adobe Systems  IBM  Netscape  Sun Microsystems,[empty],[empty],[empty],[empty],No
Photochrome,[empty],[empty],[empty],.pcs,[empty],[empty],[empty]
PNM,Portable Anymap File Format,[empty],[empty],.pnm,image/x-portable-anymap,[empty],No
PTX,Pentax RAW Bitmap Graphic,Pentax,[empty],.ptx,[empty],[empty],[empty]
Pi,[empty],Yanagisawa,[empty],.pi,[empty],Used by some old Japanese applications.,[empty]
PIC,Yanagisawa PIC,Yanagisawa,[empty],.pic,[empty],Used by many old Japanese applications.,[empty]
PIC,DoGA PIC,Project Team DoGA,[empty],.pic,[empty],Used by DoGA CGA System.,[empty]
PICT,Macintosh PICT Format,Apple Inc.,[empty],.pict  .pic  .pct  .pct1  .pct2,image/pict,Metafile for Classic Mac OS  not meant for print publishing.,Likely expired
PICtor,[empty],John Bridges  Doug Wolfgram,[empty],.pic,[empty],Supported by PCPaint,[empty]
PIC2,[empty],Yanagisawa,[empty],.p2,[empty],Supported by some old Japanese applications.,[empty]
PLD,PhotoLine Document,Computerinsel GmbH,[empty],.pld,application/pld,Native format of the PhotoLine image editing program.,?
PMP,[empty],Sony,JPEG,.pmp,[empty],Used by Sony Cyber-Shot,[empty]
PNG,Portable Network Graphics,World Wide Web Consortium,[empty],.png,image/png,W3C endorsed replacement for GIF. Supported by most web browsers.,No
PostScript,page description/scripting language  levels 1–3,Adobe,[empty],.ps  .ps2  .ps3,[empty],printing/publishing industry standard format,[empty]
PPM,Portable Pixmap File Format,[empty],[empty],.ppm,image/x-portable-pixmap,Very easy to understand. Programs to analyze and write to this format are easily written.,No
PSD,Photoshop Document,Adobe Systems,[empty],.psd  .psb  .pdb  .pdd,image/vnd.adobe.photoshop[8],Used mainly for storing image manipulation & editing data.,Yes
PSP,Paint Shop Pro Document,Corel Corporation,[empty],.psp  .tub  .pspimage,image/x-psp,Supported by Paint Shop Pro  GIMP,?
PSX TIM,[empty],[empty],[empty],.tim,[empty],[empty],[empty]
PSX TIM2,Sony PlayStation Tim2,Sony,[empty],.tm2  .str,[empty],Used by PlayStation 2,[empty]
PXA,[empty],[empty],[empty],.pxa,[empty],Used by Pixia,[empty]
QuickTime Image,[empty],Apple Inc.,[empty],.qtif  .qti  .qif,[empty],[empty],[empty]
Q0,[empty],[empty],[empty],.q0,[empty],[empty],[empty]
Q4,XLD4,MAJYO,[empty],.q4,[empty],[empty],[empty]
RAD,[empty],Gregory Ward Larson,[empty],.rad,[empty],Radiance,[empty]
RAF,Fujifilm RAW,Fujifilm,[empty],.raf,[empty],[empty],[empty]
RGB,image/colourmap data in RGB format,[empty],[empty],.rgb,[empty],[empty],[empty]
RGBA,image/colourmap data in RGB format  with Alpha channel,[empty],[empty],.rgba,[empty],[empty],[empty]
RGBE,[empty],Gregory Ward Larson,[empty],.hdr,image/vnd.radiance,Radiance  most HDR imaging software,[empty]
RHIF,Rhapsoft Image Format,Romain Piveteau,SQLite,.rhif,[empty],LiveQuarz file format,[empty]
R3D,RED REDCODE RAW,Red,[empty],.r3d,[empty],[empty],[empty]
SAI,[empty],SYSTEMAX,[empty],.sai,[empty],Supported by PaintTool SAI,[empty]
SCT,Scitex Continuous Tone Picture,[empty],[empty],.sct,[empty],[empty],[empty]
SDA,[empty],Sun Microsystems,[empty],.sda,[empty],Supported by StarOffice Draw 3–5,[empty]
SDD,[empty],Sun Microsystems,[empty],.sdd,[empty],Supported by StarOffice Draw 3–5,[empty]
SFW,Seattle File Works image,Seattle File Works,JPEG (JFIF),.sfw  .pwp,[empty],JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows,[empty]
SGB,[empty],Sun Microsystems,[empty],.sgb,[empty],Supported by StarOffice Graphics 2,[empty]
SGI,Silicon Graphics Image,[empty],[empty],.sgi  .rgb  .rgba  .bw  .int  .inta  .icon,[empty],[empty],[empty]
Shockwave Director,[empty],Adobe Systems,[empty],.dir  .dcr  .dxr  .fgd,application/x-director,Used by Adobe Shockwave.,[empty]
SHAPE,Dia Stencil,[empty],SVG,.shape,[empty],Used by Dia.,[empty]
SK,[empty],[empty],[empty],.sk,[empty],Supported by Skencil,[empty]
SketchUp Format,[empty],[empty],[empty],.skp  .skb,[empty],Supported by SketchUp,[empty]
SML,Kivio stencil,[empty],[empty],.sml,[empty],Supported by Kivio,[empty]
SRF,Sony RAW File,Sony,TIFF,.srf  .sr2,[empty],[empty],[empty]
SUN,Sun rasterfile,Sun Microsystems,[empty],.sun  .ras  .rs  .im1  .im8  .im24  .im32,[empty],Supported by GIMP,[empty]
STX,SBIG CCD camera ST-x,[empty],[empty],.stx  .st4  .st5  .st6  .st7  .st8  .st9,[empty],[empty],[empty]
SView5 Graphics,[empty],Andreas Kleinert,[empty],.svg/.sgx,[empty],Used by SView5-Library/SDK,[empty]
SVG,Scalable Vector Graphics,World Wide Web Consortium,XML,.svg  .svgz (compressed),image/svg+xml,Scriptable vector image format; supported by major web browsers  occasionally via plug-in.,No
SWF,Shockwave Flash,Adobe Systems,[empty],.swf,application/x-shockwave-flash,Supported by many web browsers via plug-in.,[empty]
SXD,OpenOffice.org 1.0 drawing format,[empty],[empty],.sxd,[empty],[empty],[empty]
TGA,Truevision Targa,Truevision Inc.,[empty],.tga  .tpic,image/tga,Used by many 3D rendering applications and 3d games.,Yes?
TIFF,Tagged Image File Format,Adobe Systems,[empty],.tiff  .tif,image/tiff,Document scanning and imaging format  also functions as a container.,No
TIFF/EP,Tag Image File Format / Electronic Photography,International Organization for Standardization,TIFF,.tiff  .tif,[empty],[empty],[empty]
TIFF-FX,Tag Image File Format Fax eXtended,[empty],TIFF,.tiff  .tif,image/tiff-fx,[empty],[empty]
Tiny Stuff,[empty],David Mumper,[empty],.tny  .tn1  .tn2  .tn3  .tn4  .tn5  tn6,[empty],An application on Atari ST,[empty]
TLG5,[empty],[empty],[empty],.tlg,[empty],Used by KiriKiri,[empty]
TLG6,[empty],[empty],[empty],.tlg,[empty],Used by KiriKiri,[empty]
UFO,Ulead File for Objects,[empty],[empty],.ufo,[empty],[empty],[empty]
VML,Vector Markup Language,Microsoft,XML,.htm  .html,application/vnd. openxmlformats-officedocument. vmlDrawing,Internet Explorer  Microsoft Office,No
WBMP,Wireless Application Protocol Bitmap Format,Open Mobile Alliance (formerly WAP Forum),[empty],.wbmp  .wbm  .wbp,image/vnd.wap.wbmp,Used in WAP-pages,No
WebP,WebP image format,Google,[empty],.webp,image/webp,Provides an alternative to JPEG  PNG and GIF with superior compression,Yes (royalty-free)
WinFax,[empty],Symantec,[empty],.wfx  fxs  fxo,[empty],[empty],[empty]
WMF,Windows Metafile Format,Microsoft,[empty],.wmf  .wmz,[empty],[empty],[empty]
WordPerfect Graphics File,[empty],[empty],[empty],.wpg,[empty],[empty],[empty]
XAML,Extensible Application Markup Language,Microsoft,XML,.xaml,application/xaml+xml,Used by Windows Presentation Foundation and Microsoft Silverlight.,?
XAR,Xar,Xara,Xar (graphics),.xar,application/vnd.xara,Used by Xara Photo & Graphic Designer,No
XBM,X BitMap  colour variant of original black-and-white bitmap (bmp) format,[empty],[empty],.xbm  .bm  .icon  .bitmap,image/x-xbitmap,Used by many legacy Unix applications.,[empty]
XCF,XCF  name derived from eXperimental Computing Facility,The GIMP Team,[empty],.xcf  .xcfbz2 (compressed)  .xcfgz (compressed),application/x-gimp-image,Used by GIMP,[empty]
XPM,X-Pixmap,[empty],[empty],.xpm  .pm,image/x-xpm,Used by many legacy Unix applications.,[empty]
X3F,SIGMA RAW,SIGMA,[empty],.x3f,[empty],[empty],[empty]
XWD,xwud X11 window dumper/undumper screenshot image,[empty],[empty],.xwd  .x11,[empty],Used by X Window System,[empty]
XYZ,RPG Maker image file,ASCII,[empty],.xyz,[empty],RPG Maker,No
YCbCr,[empty],[empty],[empty],.ycbcr,[empty],[empty],[empty]
YCbCrA,[empty],[empty],[empty],.ycbcra,[empty],[empty],[empty]
YUV,[empty],[empty],[empty],.yuv,[empty],[empty],[empty]
ZDT,[empty],[empty],[empty],.zdt,[empty],Used by TECH Win,[empty]
Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
