Memopal,Yes,Yes,Yes,Yes,Yes,Yes[65],No[66],?,[empty],[empty],Yes,[empty],Memopal,[empty],Yes,[empty],Yes,Yes,United States  Europe  Asia,3 GB,5 GB,[empty],[empty],[empty]
MiMedia,Yes,No,No,[empty],[empty],Yes[67],No,?,Yes,No,Yes,Yes,MiMedia,No[68],No,Yes,No,No,United States,7 GB,3 GB,Yes,[empty],[empty]
Mozy,Yes,Yes,Yes,Yes,Yes,Yes[69],Optional[69],?,Yes,No,[empty],[empty],Mozy,[empty],Yes,Yes,[empty],Yes,United States  Europe,2 GB,No limit [70],Yes,No,[empty]
OneDrive,Yes,No  see note[71],Yes,Yes[72],Yes,No[73],No,?,Yes,No,[empty],[empty],OneDrive,No,Yes,[empty],[empty],[empty],[empty],5 GB for new users  25 GB for older users,10 GB,[empty],[empty],Partial  29%[35]
SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[74],Yes[75],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[76],Yes,Yes,Yes,[empty],[empty],(2 GB free for 60 days only),No limit,Yes,Yes[77],[empty]
Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3,Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting
SugarSync,Yes,No,Yes,Yes,Yes,Yes[78],No[79],?,Yes,No,No,[empty],SugarSync,[empty],Yes,Yes,Yes (SugarSync account needed for folders),[empty],[empty],No,100 MB (web) No limit (client app)[80],[empty],[empty],[empty]
Syncplicity,Yes,No,Yes,Yes,Yes,Yes[81],No[81],?,[empty],[empty],Yes,[empty],Syncplicity,[empty],Yes,Yes,Yes,[empty],United States,10 GB,[empty],[empty],[empty],[empty]
Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[82],?,No,No,Yes,[empty],Tarsnap,No,[empty],[empty],[empty],[empty],[empty],No,[empty],[empty],[empty],No  Amazon AWS[35][83]
Tencent Weiyun,Yes,No,Yes,Yes,Yes,Yes,No,?,No,No,Yes,[empty],Tencent,[empty],Yes,Yes,Yes,[empty],China,10 GB,1 GB (free)  20 GB (paid),[empty],?,[empty]
Trend Micro SafeSync,Yes,Partial,Yes,Yes  via Storage Made Easy client,Yes  via Storage Made Easy client,[empty],No,?,[empty],[empty],Yes,[empty],Trend Micro SafeSync,Yes[citation needed],Yes,[empty],Yes,[empty],United Kingdom,[empty],[empty],[empty],[empty],[empty]
Tresorit,Yes,Yes[84],Yes,Yes,Yes,Yes,Yes,Yes[85],Yes,No,Yes,Yes,Tresorit,Yes[86],Yes,Yes,Yes,No,Europe[87],3 GB[88],0.5 GB (free)  10 GB (paid)[89],Yes,No,[empty]
Unitrends Vault2Cloud,Yes,Yes,Yes,[empty],[empty],Yes[90],No,?,No,Yes,Yes,[empty],Unitrends Vault2Cloud,Yes[citation needed],Yes,[empty],No,Yes,United States,No,[empty],[empty],[empty],[empty]
UpdateStar Online Backup,Yes,No,No,[empty],[empty],Yes[91],No[92],?,Yes[93],Yes,[empty],[empty],UpdateStar Online Backup,[empty],[empty],[empty],[empty],[empty],Europe,[empty],[empty],[empty],[empty],[empty]
Yandex.Disk,Yes,Yes[94],Yes,Yes,Yes,No[95],No,?,Yes,[empty],[empty],[empty],Yandex.Disk,Yes[96],Yes,Yes,Yes,[empty],Russia,10 GB,50 GB,[empty],[empty],[empty]
Zetta.net,Yes[97],Yes,Yes,[empty],[empty],Yes,No,?,Yes,No,Yes[98],Yes,Zetta.net,Yes[99],Yes,Yes,No,Yes,United States[100],No,No limit,Yes,Yes,[empty]
Zmanda Cloud Backup,Yes,No,No,[empty],[empty],Optional[101],Optional[101],?,[empty],[empty],Yes,[empty],Zmanda Cloud Backup,Yes[citation needed],[empty],[empty],[empty],Yes,United States  Europe  Singapore  Japan,[empty],No limit,Yes,Yes,Partial  Amazon AWS or Google Cloud Storage[35][102]
Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3,Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting
