Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia 6680,Smartphone,Nokia,[empty],Symbian OS,8.0a,[empty],S60 2nd Edition  Feature Pack 2  version 2.6,[empty]
Nokia 6681,Smartphone,Nokia,[empty],Symbian OS,8.0a,[empty],S60 2nd Edition  Feature Pack 2  version 2.6,[empty]
Nokia 6682,Smartphone,Nokia,[empty],Symbian OS,8.0a,[empty],S60 2nd Edition  Feature Pack 2  version 2.6,[empty]
Nokia 6700 slide,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6708,Smartphone,Nokia,[empty],Symbian OS,7.0,[empty],UIQ 2.1,[empty]
Nokia 6710 Navigator,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6720 classic,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6730 classic,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6760 slide,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6790 slide,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6790 surge,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6788,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 6788i,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia 7610,Smartphone,Nokia,[empty],Symbian OS,7.0s,[empty],S60 2nd Edition  Feature Pack 1  version 2.1,[empty]
Nokia 7650,Smartphone,Nokia,2002,Symbian OS,6.1,[empty],S60 1st Edition  version 0.9,First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with built-in camera.
Nokia 7710,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S90,only model on S90
Nokia 9210,Smartphone,Nokia,[empty],Symbian OS,6.0,[empty],S80 v1.0,[empty]
Nokia 9210i,Smartphone,Nokia,[empty],Symbian OS,6.0,[empty],S80 v1.0,[empty]
Nokia 9290,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v1.0,[empty]
Nokia 9300,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v2.0,[empty]
Nokia 9300i,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v2.0,[empty]
Nokia 9500,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v2.0,[empty]
Nokia C5-00,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia C5-01,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia C5-03,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia C6-00,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[empty]
Nokia C6-01,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[empty]
Nokia C7-00,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[empty]
