File system,Maximum filename length,name=note-25 |These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Installable File System drivers may place restrictions of their own on file and directory names; operating systems may also place restrictions of their own  across all filesystems. DOS  Windows  and OS/2 allow only the following characters from the current 8-bit OEM codepage in SFNs: A-Z  0-9  characters ! # $ % & ' ( ) - @ ^ _ ` { } ~  as well as 0x80-0xFF and 0x20 (SPACE). Specifically  lowercase letters a-z  characters " * / : < > ? \ | +   . ; = [ ]  control codes 0x00-0x1F  0x7F and in some cases also 0xE5 are not allowed.) In LFNs  any UCS-2 Unicode except \ / : ? * " &gt; &lt; | and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.}},Maximum pathname length,Maximum file size,Maximum volume size,Max number of files
Minix V3 FS,60 bytes,Any byte except NUL,No limit defined,2 GiB,4 GiB,
VMFS2,128,Any byte except NUL or /,2.048,4 TiB,64 TiB,
VMFS3,128,Any byte except NUL or /,2.048,2 TiB,64 TiB,
ISO 9660:1988,Level 1: 8.3 <br />Level 2 & 3: ~ 180,Depends on Level,~ 180 bytes?,4 GiB (Level 1 & 2) to 8 TiB (Level 3),8 TiB,
Joliet ("CDFS"),64 Unicode characters,All UCS-2 code except *  /  \  :  ;  and ?<ref></ref>,,same as ISO 9660:1988,same as ISO 9660:1988,
Rock Ridge,255 bytes,Any byte except NUL or /,No limit defined,same as ISO 9660:1988,same as ISO 9660:1988,
UniFS,No limit defined (depends on client),,No limit defined (depends on client),Available cache space at time of write (depends on platform),No limit defined,No limit defined
ISO 9660:1999,,,,data-sort-type="number" data-sort-value="0",data-sort-type="number" data-sort-value="0",
High Sierra Format,,,,data-sort-type="number" data-sort-value="0",data-sort-type="number" data-sort-value="0",
SquashFS,,,No limit defined,16 EiB,16 EiB,
File system,Maximum filename length,Allowable characters in directory entries,Maximum pathname length,Maximum file size,Maximum volume size,Max number of files
