Virtuozzo,SWsoft  now Virtuozzo Inc,x86  IA-64  x86-64,x86  IA-64  x86-64,Linux  Windows,Linux  Windows,[empty]
VMM,OpenBSD,x86-64  others(?),x86  x86-64  others(?),OpenBSD,?,[empty]
VMware ESX Server,VMware,x86  x86-64,x86  x86-64,No host OS,Windows  Linux  Solaris  FreeBSD  OSx86 (as FreeBSD)  virtual appliances  Netware  OS/2  SCO  BeOS  Haiku  Darwin  others: runs arbitrary OS,[empty]
VMware ESXi,VMware,x86  x86-64,x86  x86-64,No host OS,Same as VMware ESX Server,[empty]
VMware Fusion,VMware,x86  x86-64,x86  x86-64,macOS,Same as VMware ESX Server,[empty]
VMware Server,VMware,x86  x86-64,x86  x86-64,Windows  Linux,Same as VMware ESX Server,[empty]
VMware Workstation,VMware,x86-64,x86  x86-64,Windows  Linux,Same as VMware ESX Server,[empty]
VMware Player  later VMware Workstation Player,VMware,x86-64,x86  x86-64,Windows  Linux,Same as VMware ESX Server,, free for personal non-commercial use<ref name="vmware" /><ref name="vmware2">http://www.vmware.com/download/eula/player31.html </ref>
Wind River Hypervisor,Wind River,x86  x86-64  PowerPC  ARM,Same as host,No host OS,Linux  VxWorks  unmodified guests (including MS Windows and RTOSes such ach OSE  QNX and others)  bare metal virtual board,[empty]
Xen,Xensource  Now Citrix Systems,x86  x86-64  ARM  IA-64 (inactive)  PowerPC (inactive),Same as host,GNU/Linux  Unix-like,GNU/Linux  FreeBSD  MiniOS  NetBSD  Solaris  Windows 7/XP/Vista/Server 2008 (requires Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU)  Plan 9,[empty]
XCP-ng,By Vates SAS,x86  x86-64  ARM  IA-64 (inactive)  PowerPC (inactive),Same as host,No host OS,GNU/Linux  FreeBSD  MiniOS  NetBSD  Solaris  Windows  Windows Server 2008 (with Intel VT-x or AMD-V)  Plan 9|,[added]
XenServer,By Citrix Systems,x86  x86-64  ARM  IA-64 (inactive)  PowerPC (inactive),Same as host,No host OS,GNU/Linux  FreeBSD  MiniOS  NetBSD  Solaris  Windows 7/XP/Vista/Server 2008 (with Intel VT-x or AMD-V)  Plan 9,[empty]
XtratuM,Universidad Politecnica de Valencia,x86  x86; SPARC v8 LEON2/3,Same as host,No host OS,GPOS: Linux  RTOS: PartiKle  RTEMS,[empty]
z/VM,IBM,z/Architecture,z/Architecture  z/VM does not run on predecessor mainframes,No host OS  itself (single or multiple levels/versions deep; e.g.  VM/ESA running in z/VM 4.4 in z/VM 5.2 in z/VM 5.1.),Linux on zSeries  z/OS  z/VSE  z/TPF  z/VM  VM/CMS  MUSIC/SP  OpenSolaris for System z  predecessors,[empty]
z LPARs,IBM,z/Architecture,z/Architecture,Integrated in firmware of System z mainframes,Linux on zSeries  z/OS  z/VSE  z/TPF  z/VM  MUSIC/SP  and predecessors,[empty]
Name,Creator,Host CPU,Guest CPU,Host OS(s),Guest OS(s),License
