Toy Parser Generator,Recursive descent,?,Python,mixed,generated,all,[empty],GNU LGPL
TP Yacc,LALR(1),?,Turbo Pascal,mixed,external,all,[empty],GNU GPL
UltraGram,LALR(1)  LR(1)  GLR,BNF,C++  Java  C#  Visual Basic .NET,separate,external,Microsoft Windows,[empty],Public domain
UniCC,LALR(1),EBNF,C  C++  Python  JavaScript  JSON  XML,mixed,generated,POSIX,[empty],BSD
UrchinCC,LL(1),?,Java,?,generated,Java Virtual Machine,[empty],?
Whale,LR(?)  some conjunctive stuff  see Whale Calf,?,C++,mixed,external,all,[empty],Proprietary
wisent,LALR(1),?,C++  Java,mixed,external,all,[empty],GNU GPL
Yacc AT&T/Sun,LALR(1),YACC,C,mixed,external,POSIX,[empty],CPL & CDDL
Yacc++,LR(1)  LALR(1),YACC,C++  C#,mixed,generated or external,all,[empty],Proprietary
Yapps,LL(1),?,Python,mixed,generated,all,[empty],MIT
yecc,LALR(1),?,Erlang,separate,generated,all,[empty],Erlang
Visual BNF,LR(1)  LALR(1),?,C#,separate,generated,.NET Framework,[empty],Proprietary
YooParse,LR(1)  LALR(1),?,C++,mixed,external,all,[empty],MIT
Parse,LR(1),BNF in C++ types,?,?,none,C++11 compliant compiler,[empty],MIT
GGLL,LL(1),Graph,Java,mixed,generated,Windows,Yes,MIT
Product,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
