[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Pinta,Mid-level Free and Open Source raster graphics editor  based on Paint.Net,Jonathan Pobst,[empty],1.5,[empty],[empty],[added]
PixBuilder Photo Editor,[empty],WnSoft Graphic Software,[empty],1.31,[empty],[empty],[added]
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,[empty],3.0,[empty],[empty],[added]
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,[empty],3.8,[empty],[empty],[added]
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,[empty],4.70d,[empty],[empty],[added]
PMview,Fast image viewer with basic editing functions,Peter Nielsen,1992},3.80 (2017),[empty],[empty],[added]
Project Dogwaffle,Dan Ritchie retired but others continue active development<ref name="gi_3">According to an official message on the developer's home page  the author suspended development of Project Dogwaffle due to religious reasons. Except for the message and a link to the continued development  no download or documentation remain on the website. Third-party shareware developers and vendors online sell licensed actively developed versions of Project Dogwaffle software. Later versions are called PD Pro x (x=version number)</ref>,Dan Ritchie,[empty],2011 (7.0) (1.2 available as freeware),[empty],[empty],[added]
QFX,Mature and complete image editing package,Ron Scott,[empty],8,[empty],[empty],[added]
Rawstudio,Raw image processor.,Anders Brander & Anders Kvist,[empty],2.0,[empty],[empty],[added]
RawTherapee,Powerful free and cross-platform raw image editor  for developing raw photos from digital cameras.,Gabor Horvath,[empty],4.0.11,[empty],[empty],[added]
Seashore,Basic counterpart to GIMP  using its XCF format; full support for a few graphics formats,Mark Pazolli,[empty],0.1.9,[empty],[empty],[added]
Serif PhotoPlus,Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart  effects  public domain image library; made for easy use,Serif,[empty],X8,[empty],[empty],[added]
Shotwell,Image organizer for GNOME,Yorba Foundation,[empty],0.12.3,[empty],[empty],[added]
Tux Paint,Drawing program for young children.,Bill Kendrick,[empty],0.9.21,[empty],[empty],[added]
TVPaint,2D animation software,Herve ADAM,[empty],9.5.11,[empty],[empty],[added]
UFRaw,Raw image format processor,Udi Fuchs,[empty],0.22,[empty],[empty],[added]
Ulead PhotoImpact*,[empty],Ulead Systems,[empty],12,[empty],[empty],[added]
Ultimate Paint*,Basic graphics editor based on Deluxe Paint,Joseph Ladanyi  Daniel Szabo,[empty],2.88,[empty],[empty],[added]
WinImages,Animation-centric,Black Belt Systems,[empty],7.5,[empty],[empty],[added]
Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,(Windows),9,[empty],[empty],[added]
XnView,Cross-platform image viewer used for converting  organising and editing graphical & video files.,Pierre-emmanuel Gougelet,(1.06),2.20 (Windows)/0.64 (Linux  macOS),[empty],[empty],[added]
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,David Koblas  Torsten Martinsen  Jean-Pierre Demailly,[empty],2.9.10.3,[empty],[empty],[added]
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,[empty],11.0 build 8,[empty],[empty],[added]
