Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder type,,Metering zones,Focus points,Lowest ISO,Highest ISO,,<ref>ISO value  at which the noise starts to disturb the photo. Unit: ISO. More at DxOMark - Use Case Scores</ref>,,,Live view,Movie mode,,Video,,Weight (g)<ref>Data taken from specification pages of Digital Photography Review review pages (usually page #2 of given camera review)  e.g. here for a Nikon D3000</ref>,Announced (date),In production,Reference
Nikon,D3100,APS-C,14.2,F-mount,Pentamirror,95,420,11,100,12800,67,919,4.4,3.2,yes,yes,SD,,124x96x74.5,505,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Nikon/D3100http://www.dpreview.com/reviews/nikond3100/page2.asp
Nikon,D3000,APS-C,10.2,F-mount,Pentamirror,95,420,11,100,3200,62,563,3,3,no,no,SD,,126x97x64,536,,no
Olympus,E-5,Four Thirds,12.3,4/3 system,Pentaprism,100,49,11,100,6400,56,519,5,3.0,yes,yes,CF  SD,,142x116x75,813 (without battery),,yes,http://www.olympusamerica.com/cpg_section/product.asp?product=1525&page=specs
Olympus,E-3,Four Thirds,10.1,4/3 system,Pentaprism,100,49,11,100,3200,56,571,5,2.5,yes,no,CF  xD,,142x116x75,800 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E3http://www.olympusamerica.com/cpg_section/product.asp?product=1323&page=specs
Olympus,E-30,Four Thirds,12.3,4/3 system,Pentaprism,98,49,11,100,3200,55,530,5,2.7,yes,no,CF  xD,,142x116x75,730,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E30http://www.olympusamerica.com/cpg_section/product.asp?product=1430&page=specs
Olympus,E-620,Four Thirds,12.3,4/3 system,Pentamirror,95,49,7,100,3200,55,536,4,2.7,yes,no,CF  xD,,130x94x60,475 (without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Olympus/E620http://www.olympusamerica.com/cpg_section/product.asp?product=1452&page=specs
Pentax,645D,Medium format,39.5,Pentax 645,Pentaprism,98,77,11,100,1600,82,1262,1,3,no,no,SDXC (2x),,156x117x119,1400,,no,https://www.dxomark.com/Cameras/Pentax/645Dhttp://www.ricoh-imaging.co.jp/english/products/645d/feature.html
Pentax,645Z,Medium format,39.5,Pentax 645,Pentaprism,98,86000,27,100,204800,101,4505,3,3.2,yes,yes,SDXC (2x),,156x117x123,1550,,yes,https://www.dxomark.com/Cameras/Pentax/645Zhttp://www.ricoh-imaging.co.jp/english/products/645z/
Pentax,K-1,Full frame,36.3,K mount,Pentaprism,100,86000,33,80,204800,96,3280,4.4,3.2,yes,yes,SDXC (2x),1080p30,136.5x110x85.5,750,,no,https://www.dxomark.com/Cameras/Pentax/K-1http://www.ricoh-imaging.co.jp/english/products/k-1/
Pentax,K-5,APS-C,16.3,K mount,Pentaprism,100,77,11,80,51200,82,1162,7,3,yes,yes,SDXC,,131x97x73,750,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K5http://www.pentaximaging.com/slr/K-5
Pentax,K-7,APS-C,14.6,K mount,Pentaprism,100,77,11,100,6400,61,536,5.2,3,yes,yes,SD,,131x97x73,750,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K7http://www.pentaximaging.com/slr/K-7
Pentax,K-50,APS-C,16.3,K mount,Pentaprism,100,77,11,100,51200,79,1120,6,3,yes,yes,SDXC,,130x97x71,650,,yes,http://www.dxomark.com/Cameras/Pentax/K-50http://www.dpreview.com/products/pentax/slrs/pentax_k50/specifications
Pentax,K-500,APS-C,16.3,K mount,Pentaprism,100,77,11,100,51200,79,1087,6,3,yes,yes,SDXC,,130x97x71,646,,yes,http://www.dxomark.com/Cameras/Pentax/K-500http://www.dpreview.com/products/pentax/slrs/pentax_k500/specifications
Pentax,K-30,APS-C,16.3,K mount,Pentaprism,100,77,11,100,25600,79,1129,6,3,yes,yes,SDXC,,131x97x73,649,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K-30http://www.pentaximaging.com/dslr/K-30_Black
Pentax,K-r,APS-C,12.4,K mount,Pentamirror,96,16,11,100,25600,72,755,6.0,3.0,yes,yes,SD,,122x91x67,515 (without battery),,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Krhttp://www.pentaximaging.com/slr/K-r_Black/
Pentax,K-x,APS-C,12.4,K mount,Pentamirror,96,16,11,100,12800,72,811,4.7,2.7,yes,yes,SD,,122x91x67,580,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/Kxhttp://www.pentaximaging.com/slr/K-x_Black/
Pentax,K20D,APS-C,14.6,K mount,Pentaprism,96,16,11,100,6400,65,639,3,2.7,yes,,SD,,141.5×101×70,800,,no,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Pentax/K20D
Sigma,SD1 Merrill,APS-C,15.4 x 3,SA mount,Pentaprism,96,77,11,100,6400,N/A,N/A,6,3,no,no,CF,,146x113x80,790,,yes,http://www.sigmaphoto.com/product/sd1-merrill-digital-slr-camera-0http://www.dpreview.com/reviews/sigmasd1/2
Sony,Alpha 900,Full frame,24.6,Sony α/Minolta A,Pentaprism,100,40,9,100,6400,79,1431,5,3,no,no,CF  MS,,156x117x82,895,,yes
Sony,Alpha 850,Full frame,24.6,Sony α/Minolta A,Pentaprism,98,40,9,100,6400,79,1415,3,3,no,no,CF  MS,,156x117x82,895,,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-850http://www.sony.co.uk/product/dsd-body/dslr-a850#pageType=TechnicalSpecs
Sony,Alpha 580,APS-C,16.2,Sony α/Minolta A,Pentamirror,95,,15,100,12800,80,1121,7,3,yes,yes,SD  MS,,137x104x84,599 (without battery),,yes,http://www.dxomark.com/index.php/Cameras/Camera-Sensor-Database/Sony/Alpha-580
Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder type,Viewfinder coverage (% of the frame),Metering zones,Focus points,Lowest ISO,Highest ISO,DxOMark sensor score,DxO ISO perfor- mance<ref>ISO value  at which the noise starts to disturb the photo. Unit: ISO. More at DxOMark Sensor Scores - Sports & action photography: Low-Light ISO</ref>,Cont. shtg (fps),LCD size (in),Live view,Movie mode,Memory card type,,Dimensions (mm),Weight (g)<ref>Data taken from specification pages of Digital Photography Review review pages (usually page #2 of given camera review)  e.g. here for a Nikon D3000</ref>,Announced (date),In production,Reference
