Sansa Fuze,SanDisk,2008-03-17<ref>Release date according to CNET.</ref>,,DAP,0008 2/4/8,Flash,microSDHC,78.7 × 48.3,7.6,59.5,01.02.28 & 02.03.33<ref></ref>
Sansa Fuze+,SanDisk,2010-09-01<ref>Release date according to http://reviews.cnet.com/mp3-players/sandisk-sansa-fuze-mp3/4652-6490_7-34165624.html.</ref>,,PMP,0008 4/8/16,Flash,microSD microSDHC,96.5 × 50.7,11.1,170,02.38.06<ref></ref>
Sansa View,SanDisk,2007-10-26<ref>Release date according to MP3.com .</ref>,,PMP,0032 8/16/32,Flash,microSDHC,,,,01.03.02a<ref></ref>
Walkman NWZ-A820 series,Sony,2008-03-28<ref>Release date according to CNET.</ref>,,DAP,0008 4/8/16,Flash,,,,,1.02
Walkman NWZ-E580 series,Sony,2013-07-10<ref></ref>,,DAP,0008 8/16,,,42.1 x 92.1,8,49,
ZEN,Creative,2007-09-14<ref></ref>,Micro,PMP,0032 2/4/8/16/32,Flash,SDHC<ref name="MMC" />,,,,1.21.01<ref></ref>
ZEN X-Fi,Creative,2008-07-10,Micro,PMP,0032 8/16/32,Flash,SD,,,,1.03.01<ref></ref>
ZEN Vision W,Creative,2006-08-30,Mid,PMP,0060 30/60,HDD,CF,,,,1.10.01<ref></ref>
Zune 30,Microsoft,2006-11-14,Mid,PMP,0030 30,HDD,,,,,3.3<ref name="Zune Firmware" />
Zune 4/8,Microsoft,2007-11-13<ref name="Zune Launch"></ref>,Micro,PMP,0008 4/8,Flash,,,,,3.3<ref name="Zune Firmware" />
Zune 16,Microsoft,2008-09-16,Micro,PMP,0016 16,Flash,,,,,3.3<ref name="Zune Firmware" />
Zune 80,Microsoft,2007-11-13<ref name="Zune Launch" />,Mid,PMP,0080 80,HDD,,,,,3.3<ref name="Zune Firmware"></ref>
Zune 120,Microsoft,2008-09-16,Mid,PMP,0120 120,HDD,,,,,3.3<ref name="Zune Firmware"/>
Zune HD,Microsoft,2009-09-15,Mini,PMP,0064 16/32/64,Flash,,,,,4.5
Zvue 260,Zvue,2007-07-17<ref></ref>,,DAP,0000 None,HDD,SDHC<ref name="MMC" />,,,,2.80 I_071012<ref></ref>
Name,Manufacturer,Release,Size,Type,Capacity (GB)<ref name="ReferenceC"/>,Storage,External,Dimensions (mm × mm),Depth (mm),Weight (g),Firmware
