+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
Mammoth Mountain,Mammoth Lakes,California,11.053,7.953,3.100,3.500,150,28,420,$96,April 20  2012<ref name="Mammoth Mountain Stats"></ref>,[added]
Heavenly Mountain Resort http://www.skiheavenly.com/,South Lake Tahoe,California,10.067,7.200,3.500,4.800,94,30,360,$82,November 19  2010,[added]
Mount Shasta Ski Park,Mount Shasta,California,9.200,7.800,1.435,425,32,4,275,$44,April 20  2012,[added]
Alpine Meadows,Truckee,California,8.637,6.835,1.802,2.400,[empty],14,365,$92,April 20  2012,[added]
Boreal,Soda Springs,California,7.700,7.200,500,380,41,8,400,$49,April 20  2012,[added]
Donner Ski Ranch,Norden,California,7.781,7.031,750,435,52,8,400,$45,April 20  2012,[added]
Homewood,Homewood,California,7.881,6.223,1.658,1.260,60,7,400,$109; $49 adv purch,December 20  2018,[added]
Kirkwood,Kirkwood,California,9.800,7.800,2.000,2.300,65,15,500,$79,April 20  2012,[added]
Northstar California,Truckee,California,8.610,6.330,2.280,2.904,93,19,350,$99,April 20  2012,[added]
Sierra-at-Tahoe,Twin Bridges,California,8.852,6.640,2.212,2.000,46,12,480,$77,April 20  2012,[added]
Sugar Bowl,Norden,California,8.383,6.883,1.500,1.500,94,13,500,$77,April 20  2012,[added]
Soda Springs,Soda Springs,California,7.325,6.673,652,200,15,2,400,$36,April 20  2012,[added]
Tahoe Donner,Truckee,California,7.350,6.750,600,120,10,3,400,$41,April 20  2012,[added]
Badger Pass,Yosemite National Park,California,8.000,7.200,800,90,10,5,300,$42,April 20  2012,[added]
Bear Valley,Angels Camp,California,8.500,6.600,1.900,1.280,67,10,359,[empty],April 20  2012,[added]
Dodge Ridge,Sonora,California,8.200,6.600,1.600,832,62,12,300,[empty],April 20  2012,[added]
June Mountain,June Lake,California,10.090,7.545,2.590,500,35,7,250,[empty],April 20  2012,[added]
China Peak,Lakeshore,California,8.709,7.030,1.673,1.200,45,11,300,[empty],April 20  2012,[added]
Alta Sierra,Wofford Heights,California,7.091,6.491,600,[empty],6,2,80<ref>http://www.bakersfieldlife.com/people-community/x429884552/Alta-Sierra-Ski-Resort-and-Terrain-Park</ref>,$50<ref></ref>,May 1  2017,[added]
Buckhorn Ski and Snowboard Club,Three Points,California,7.903,7.203,680,40,5,2,180,[empty],April 20  2012,[added]
Bear Mountain,Big Bear Lake,California,8.805,7.104,1.665,198,24,12,100,[empty],April 20  2012,[added]
Mount Baldy Ski Lifts,Mount Baldy,California,8.600,6.500,2.100,800,26,4,170,[empty],April 20  2012,[added]
Mount Waterman,Three Points,California,8.030,7.000,1.030,150,27,3,180,[empty],April 20  2012,[added]
Mountain High,Wrightwood,California,8.200,6.600,1.600,290,59,13,132<ref></ref>,$59<ref></ref>,February 14  2014,[added]
Snow Summit,Big Bear Lake,California,8.174,6.965,1.209,240,30,14,100,[empty],April 20  2012,[added]
Snow Valley Mountain Resort,Running Springs,California,7.841,6.800,1.041,240,29,12,150,[empty],April 20  2012,[added]
Wolf Creek Ski Area,Pagosa Springs,Colorado,11.904,10.300,1.604,1.600,77,7,465,[empty],April 20  2012,[added]
Kicking Horse Resort,Golden,British Columbia,8.033,3.900,4.133,2.750,106,3,275,$73,February 20  2011,[added]
Eldora Mountain Resort http://www.eldora.com/,Nederland,Colorado,10.800,9.200,1.600,680,53,12,300,$69,February 18  2011,[added]
Alyeska Resort http://www.alyeskaresort.com/,Girdwood,Alaska,3.939,250,2.500,1.400,73,9,643,$60,November 18  2010,[added]
Marmot Basin http://www.skimarmot.com/,Jasper,Alberta,8.570,5.570,3.000,1.675,86,8,160,$73.,November 18  2010,[added]
Lake Louise Mountain Resort http://www.skilouise.com/,Lake Louise,Alberta,8.650,5.400,3.250,4.200,139,9,180<ref>Lake Louise Mountain Resort</ref>,$84.95<ref></ref>,February 14  2014,[added]
Big White Ski Resort http://www.bigwhite.com/,Kelowna,British Columbia,7.606,4.950,2.656,2.800,118,16,294,$76,November 19  2010,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Silver Star Mountain Resort http://www.skisilverstar.com/,Vernon,British Columbia,6.282,3.789,2.500,3.269,128,12,275,$81,April  2015<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Whistler Blackcomb http://www.whistlerblackcomb.com/,Whistler,British Columbia,7.494,2.140,5.280,8.171,200,37,404,$93,December 23  2017,[added]
Steamboat Springs http://www.steamboat.com/,Steamboat Springs,Colorado,10.568,6.900,3.668,2.956,165,16,349,$125,January 30  2015,[added]
Copper Mountain (Colorado) http://www.coppercolorado.com/,Frisco,Colorado,12.313,9.712,2.601,2.450,126,22,282,$74,November 19  2010,[added]
Vail Ski Resort,Vail,Colorado,11.570,8.120,3.450,5.289,195,31,354,$199; $179 online,December 20  2018,[added]
Beaver Creek,Avon,Colorado,11.440,8.100,3.340,1.832,150,24,195,$199; $179 online,December 20  2018,[added]
Winter Park Resort,Winter Park,Colorado,12.060,9.000,3.060,3.000,143,25,365,$92,[empty],[added]
Saddleback Maine,Farmington,Maine,4.120,2.120,2.000,485,66,5,200,$40,[empty],[added]
Boyne Mountain,Boyne City,Michigan,1.120,620,500,41,60,10,140,$59,[empty],[added]
Mountain Creek,Vernon Township,New Jersey,1.480,440,1.040,200,41,8,65,$62,[empty],[added]
Blue Mountain,Collingwood,Ontario,1.483,741,742,250,34,15,109,$67,[empty],[added]
Mt Bachelor https://web.archive.org/web/20100331205610/http://www.mtbachelor.com/winter/index.html,Bend,Oregon,9.065,5.700,3.365,4.318,101,11,462,$92,January 31  2017,[added]
Mount Hood Meadows http://www.skihood.com/,Portland,Oregon,7.300,4.523,2.777,2.150,85,11,430,$57,[empty],[added]
Mont-Sainte-Anne,Beaupré,Quebec,2.625,575,2.050,450,65,13,187,$65,[empty],[added]
Mont Tremblant Resort,Mont Tremblant,Quebec,2.870,750,2.120,627,95,14,156,$70.35,[empty],[added]
Le Massif,Petite-Rivière-Saint-François,Quebec,2.645,118,2.527,410,48,4,248,$61,[empty],[added]
Brian Head,Brian Head,Utah,11.307,9.600,1.548,650,14,8,370,$40,[empty],[added]
Park City Mountain Resort<ref></ref>,Park City,Utah,10.000,6.900,3.100,7.300,348,41,360,$145,December 23  2017,[added]
Deer Valley,Park City,Utah,9.570,6.570,3.000,2.026,100,21,280,$86,[empty],[added]
Brighton Ski Resort http://www.brightonresort.com,Salt Lake City,Utah,10.500,8.755,1.745,1.500,66,6,500,$58,[empty],[added]
Alta Ski Area http://www.alta.com,Salt Lake City,Utah,10.550,8.530,2.020,2.200,116,10,560,$66,[empty],[added]
Snowbird http://www.snowbird.com,Salt Lake City,Utah,10.992,7.760,3.240,2.500,85,13,500,$72,[empty],[added]
Smuggler's Notch,Jeffersonville,Vermont,3.640,1.030,2.610,1.000,78,16,288,$66,[empty],[added]
Windham Mountain,Windham,New York,3.100,1.500,1.600,279,52,12,100<ref></ref>,$75,February 14  2014,[added]
Hunter Mountain,Hunter,New York,3.200,1.600,1.600,240,58,10,120<ref></ref>,$72,February 14  2014,[added]
Killington Ski Resort,Killington,Vermont,4.241,1.165,3.050,1.509,155,21,250,$77,[empty],[added]
Okemo Mountain,Ludlow,Vermont,3.344,1.144,2.200,632,119,19,200,$79,[empty],[added]
Stowe Mountain Resort,Stowe,Vermont,3.719,1.559,2.160,485,116,13,333,$89,[empty],[added]
Sugarbush Resort,Warren,Vermont,4.083,1.483,2.600,508,111,16,269,$82,[empty],[added]
Sugarloaf,Carrabassett Valley,Maine,4.237,1.417,2.820,1.153,154,14,200,$79,[empty],[added]
Snowshoe Mountain,Marlinton,West Virginia,4.848,3.348,1.500,244,60,14,180,$77,[empty],[added]
Sunshine Village http://www.skibanff.com/,Banff,Alberta,8.954,5.440,3.514,3.358,107,12,360,$82,January 19  2013,[added]
Mt. Norquay http://banffnorquay.com//,Banff,Alberta,8.040,5.500,1.650,190,28,5,120,$59,January 19  2013,[added]
Grouse Mountain http://grousemountain.com//,North Vancouver,British Columbia,4.039,899,1.198,212,26,5,120,$58,April 2  2013,[added]
Mount Seymour http://www.mountseymour.com//,North Vancouver,British Columbia,4.150,935,1.083,200,23,5,394,$51,April 2  2013,[added]
Cypress Mountain http://cypressmountain.com//,West Vancouver,British Columbia,4.724,2.985,2.001,600,53,6,245,$60,April 2  2013,[added]
Stevens Pass http://stevenspass.com//,Stevens Pass,Washington,5.845,4.061,1.800,1.125,37,10,450,$65,July 8  2013,[added]
Sun Peaks Resort,Kamloops,British Columbia,6.824,3.930,2.894,4.270,135,12,237,$74,December 23  2017,[added]
Crystal Mountain,Enumclaw,Washington,7.012,3.912,3.100,2.600,57,12,350,$66<ref></ref>,January 26  2014,[added]
Red Mountain Resort http://redresort.com//,Rossland http://tourismrossland.com//,British Columbia,6807,3887,2919,2887,110,7,300,$79,October 31  2014,[added]
Mt Baker http://mtbaker.us//,Glacier,Washington,5089,3500,1589,1000,31,10,641,$58,December 5  2015,[added]
Whiteface Mountain,Lake Placid,New York,4.650,1.220,3.430,314,87,11,168<ref></ref>,$92,February 16  2016,[added]
Powder Mountain,Eden,Utah,9442,6900,2205,2.800,167,9,500,$85,January 29  2018,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sugar Mountain Resort http://www.skisugar.com//,Banner Elk,North Carolina,5.300,4.100,1.200,120,21,8,77,$74,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beech Mountain Resort https://www.beechmountainresort.com//,Beech Mountain,North Carolina,5.506,4.675,831,95,17,8,84,$67,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Appalachian Ski Mountain https://www.appskimtn.com//,Blowing Rock,North Carolina,4.000,3.635,365,27,12,5,27,$62,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Cataloochee Ski Area http://cataloochee.com//,Maggie Valley,North Carolina,5.400,4.660,740,50,18,5,24,$67,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sapphire Valley Ski Area http://www.skisapphirevalley.com//,Sapphire,North Carolina,3.400,3.200,200,8,3,3,24,$63,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Wolf Ridge Ski Resort http://www.skiwolfridgenc.com//,Mars Hill,North Carolina,4.700,4.000,700,65,15,4,65,$56,May 5  2018<ref></ref>,[added]
Aspen Highlands<ref></ref><ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|language=en|access-date=2018-09-27}}</ref>,Aspen,Colorado,11.678,8.040,3.638,1.010,144,5,300,$139,September 27  2018,[added]
Aspen Mountain<ref> Colorado Ski Snowboard Resort {{!}} Aspen Snowmass|website=Aspen Snowmass|language=en|access-date=2018-09-27}}</ref><ref></ref>,Aspen,Colorado,11.212,7.945,3.267,673,76,8,300,$139,September 27  2018,[added]
Buttermilk<ref></ref><ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|language=en|access-date=2018-09-27}}</ref>,Aspen,Colorado,9.900,7.870,2.030,435,44,8,200,$139,September 27  2018,[added]
Snowmass<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|language=en|access-date=2018-09-27}}</ref><ref></ref>,Aspen,Colorado,12.510,8.104,4.406,3.362,96,17,300,$139,September 27  2018,[added]
Lee Canyon (Ski and Snowboard Resort) <ref></ref><ref></ref>,Las Vegas,Nevada,11.289,8.510,860,385,27,3,161,$70,December 29  2018,[added]
Mount Snow https://www.mountsnow.com/,Dover,Vermont,3.600,1.900,1.700,600,86,20,156,$110,January 15  2019 <ref></ref>,[added]
