+
iTransfer iT<ref></ref>,GB Free  GB Premium,GB,,,1 Week FREE 1 Month Premium,,,No,,,?,,
Jumpshare,2 GB free  1 TB paid,250 MB free  Unlimited paid,,5GB per month free  200GB per month on paid plan,,,,,,,,,Real-time file sharing with built-in utilities for screenshots  screencasts  notes  and voice clips.
Koofr<ref></ref>,GB free  GB to TB paid,,,,,,,,,?,,,
MediaFire<ref></ref>,GB  + GB for referrals up to TB Pro accounts  TB Business accounts,GB free <ref>Mediafire Homepage</ref> GB paid<ref>Plan Comparison</ref>,,TB pro plan  Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.<ref>Mediafire states on their knowledgebase that https://mediafire.zendesk.com/hc/en-us/articles/207100597-Bandwidth-and-Direct-Downloading there's a bandwidth limit for premium users</ref>,<ref>Mediafire states on their knowledgebase there isn’t a time limit on how long files will be stored. However  "MediaFire Free accounts holders must have some type (any type) of activity to protect their accounts from deletion".</ref>,,,<ref></ref>,,?,,,Resuming of interrupted downloads possible.
Mega<ref></ref>,GB free  up to GB free trial <ref></ref> up to TB paid,Available cloud drive space<ref>Mega Help Centre: Basics: Are there any file size limits on Mega?</ref>,No<ref></ref>,GB free  Up to TB per month paid.<ref name="Mega service">Mega (service)</ref>,<ref>Under Suspension and Termination</ref>,,,,<ref></ref>,?,,,Apps for Windows  macOS  Linux  iOS  Android  Windows Phone  Blackberry  Chrome  Firefox  Safari<ref>https://mega.co.nz/#sync</ref> Supports HTML5 browsers.<ref></ref>
OneDrive<ref></ref>,GB<ref></ref>,,,1 year of account inactivity<ref>Microsoft states in their Terms of Service: "You must sign into your Outlook.com inbox and your OneDrive (separately) at least once in a one-year period  otherwise we will close your Outlook.com inbox and your OneDrive for you."</ref>,,<ref></ref>,<ref></ref>,(Office files only),<ref></ref>,?,,Fetch files allows remote access of files on Windows with OneDrive installed<ref></ref> 25 GB free for grandfathered accounts before April 2012<ref></ref> * Currently requires user to request "unlimited" storage (10TB  able to be increased upon request)  otherwise 1TB for Office 365 subscribers.
SecureSafe<ref name="mikel backup"></ref>,100MB free  up to 100GB paid <ref></ref>,? 2GB limit for SecureSend,,,,,,,<ref name="mikel backup" />,?,,,Offers Data Inheritance <ref></ref>
SugarSync<ref></ref>,GB personal paid  Unlimited GB professional paid,,<ref> </ref>,10 GB/file/day free  250 GB file/day paid,No expiration for paid accounts  90 days of inactivity for free users,,REST<ref></ref>,?,,?,,,If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.<ref></ref>
Tencent Weiyun<ref></ref>,TB (10 GB free),1 GB regular upload  32 GB Power Upload plug-in,,,,,,,,?,,,In English and Chinese (free version in Chinese only)
TitanFile,No free space  unlimited paid,MB free  GB paid  GB professional,<ref name="Pricing"></ref>,,, unless set by user<ref name="Pricing"/>,No,<ref></ref>,For enterprise clients only,<ref></ref>,?,for paid plans<ref></ref>,,HIPAA-compliant  group messaging  audit logs  granular security control  embedable on website.
Tresorit<ref></ref>,3 GB free trial  100-1000 GB paid plans<ref></ref>,500 MB free  5 GB premium  10 GB rest of paid plans<ref></ref>,,,,,,,<ref></ref> for paid plans,,<ref></ref>,,Files stored in Tresorit are encrypted using the most advanced encryption methods. No one  not even Tresorit administrators hold the users' decryption keys.
vBoxxCloud<ref></ref>,14-day free trial  250mb size limit. 25 GB paid storage packs<ref></ref>,Unlimited,,,,,,,,,,20
Yandex Disk,up to 20 GB free (10 GB when registering)  up to 1024 GB paid,2 GB upload via Web or WebDAV  50 GB upload via application,,200% of storage size per day,,,REST  WebDAV  SDK<ref></ref>,,,?,,,English  Russian  Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows  macOS  Linux  iOS  Android. Client-side encryption is available with 3rd party open source clients.
Web host,Storage size,Max. file size,Direct access<ref group="1" name="ReferenceA" />,Traffic or bandwidth limit,File expiration<ref group="1" name="ReferenceB" />,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption<ref name="Security Now 349" />,Free GB (number only),Misc. notes
