[empty],RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
PhotoPerfect*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photos,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photo Raster,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Picasa*,[empty],Import,Import,[empty],[empty],[empty],Import,[empty],Import,[empty],[empty],[empty],[empty],[empty]
PicMaster,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PixBuilder Photo Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pixelmator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pixia,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PMview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Project Dogwaffle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
QFX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RawTherapee,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Seashore,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Serif PhotoPlus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tux Paint<ref name="ft_12">For the BMP  JPEG and PNG formats  the user is sandboxed in an interface that does not permit file system interaction  including viewing of filenames and the choice of a file's name  type  or location. Files are selected by thumbnails  and may only be loaded from one predetermined directory.</ref>,[empty],[empty],Import,Import,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
TVPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ulead PhotoImpact*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty],[empty],[empty]
Ultimate Paint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinImages,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xara Photo & Graphic Designer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XnView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Import,[empty],[empty],[empty]
XPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zoner Photo Studio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
