Vehicle,Origin,Manufacturer,Mass to … (kg),Launches,Date of flight
Atlas II,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],2.000 to HCO<ref name="GSP-AC"/>
Atlas IIA,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],2.160 to HCO<ref name="GSP-AC"/>
Atlas IIAS,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],2.680 to HCO<ref name="GSP-AC"/>
Atlas IIIA,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],2.970 to HCO<ref name="GSP-AC"/>
Atlas IIIB/DEC,}},Lockheed Martin,<ref name="GSP-AC"></ref>,<ref name="GSP-AC"/>,[empty]
Atlas IIIB/SEC,[empty],Lockheed Martin,<ref>astronautix.com  Atlas IIIB </ref>,<ref name="GSP-AC"/>,[empty]
Black Arrow,}},RAE,<ref>Encyclopedia Astronautica  Black Arrow </ref>,[empty],[empty]
Commercial Titan III,[empty],Martin Marietta,<ref>astronautix.com  Titan III </ref>,[empty],[empty]
Delta 0300,[empty],[empty],[empty],<ref></ref>,to SSO<ref></ref>
Delta 0900,[empty],McDonnell Douglas,<ref name="EA-D0900"></ref>,[empty],to SSO<ref name="GSP-Delta"/>
Delta 1410,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1604,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1900,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta 1910,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1913,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1914,[empty],McDonnell Douglas,[empty],<ref></ref>,[empty]
Delta 2310,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 2313,[empty],McDonnell Douglas,[empty],[empty],to GEO<ref></ref>
Delta 2910,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta 2913,[empty],McDonnell Douglas,<ref name="EA-D2913"></ref>,<ref name="EA-D2913"/>,[empty]
Delta 2914,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 3910,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[empty]
Delta 3913,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 3914,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 3920,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[empty]
Delta 3924,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 4925,[empty],McDonnell Douglas,<ref name="EA-D4000"></ref>,<ref name="GSP-Delta"/>,[empty]
Delta 5920,[empty],McDonnell Douglas,<ref name="EA-D5000"></ref>,[empty],[empty]
Delta II 6920,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta II 6925,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta II 7320,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7326,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,636 to TLI 629 to HCO
Delta II 7420,[empty],ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7425,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,804 to HCO
Delta II 7426,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,734 to TLI 711 to HCO
Delta II 7920,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7925,[empty],Boeing IDS / ULA,[empty],<ref name="GSP-Delta"/>,1.177 to TLI 1.265 to HCO
Delta II-H 7920H,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],[empty]
Delta II-H 7925H,[empty],Boeing IDS / ULA,[empty],[empty],1.508 to HCO<ref name="GSP-Delta"/>
Delta III 8930,[empty],Boeing IDS,<ref name="GSP-Delta"/>,[empty],[empty]
Delta IV M,[empty],Boeing IDS,<ref name=d4ppg/>,[empty],to polar
Delta IV M+(5.2),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Diamant,[empty],SEREB,<ref></ref><ref>Space Skyrocket  Diamant  retrieved 19 December 2015</ref>,[empty],[empty]
Dnepr,[empty],Yuzhmash,<ref name="GSP-Dnepr"></ref>,[empty],[empty]
Energia<ref group="note">Without Buran  and assuming payload providing orbital insertion</ref>,[empty],NPO Energia,<ref name="Energia"/>,[empty],to GEO<ref name="Energia"/> 32.000 to TLI<ref name="Energia"/>
Energia-Buran,[empty],NPO Energia (Launcher) NPO Molniya (Orbiter),<ref name="Energia"></ref> <ref group="note" name="spaceplane">The US Space Shuttle Transportation System and the Soviet Energia-Buran system  consist of launch vehicle rockets and returnable spaceplane orbiter. Payload values listed here are for the mass of the payload in cargo bay of the spaceplanes  excluding the mass of the spaceplanes themselves.</ref>,[empty],[empty]
Falcon 1,[empty],SpaceX,<ref name=gsp-falcon1></ref>,[empty],[empty]
Falcon 9 v1.0,[empty],SpaceX,<ref name=spacex-falcon9-2011></ref>,<ref name="spacex-falcon9-2011"/>,[empty]
Falcon 9 v1.1,[empty],SpaceX,<ref group="note">The SpaceX website lists the F9 payload to LEO as 13.150kg. The payload to GTO is listed as 4.850kg. However  SpaceX has stated that these numbers include a 30% margin to accommodate re-usability.</ref><ref name=spacex-falcon9-2014></ref>,<ref name="spacex-falcon9-2014"/>,[empty]
Feng Bao 1,[empty],Shanghai Bureau №2,<ref>Feng Bao 1  part of CZ family</ref>,[empty],[empty]
GSLV Mk.I(a),[empty],ISRO,<ref name=GSLV-ISRO></ref>,<ref name=GSP-GSLV />,[empty]
GSLV Mk.I(b),[empty],ISRO,<ref name=GSLV-ISRO />,<ref name=GSP-GSLV />,[empty]
GSLV Mk.I(c),[empty],ISRO,<ref name=GSLV-ISRO />,[empty],[empty]
H-I,[empty],Mitsubishi,<ref></ref>,[empty],[empty]
H-II / IIS,[empty],Mitsubishi,<ref>astronautix.com  H-2 </ref>,<ref name="GSP-H2" />,[empty]
H-IIA 2022,[empty],Mitsubishi,[empty],<ref name="GSP-H2A"/>,[empty]
H-IIA 2024,[empty],Mitsubishi,<ref>astronautix.com H-IIA 2024 </ref>,<ref name="GSP-H2A"/>,[empty]
J-I,[empty],Nissan Motors<ref name=Nissan/>,<ref></ref>,[empty],[empty]
Kaituozhe-1,[empty],CALT,<ref>astronautix.com Kaituozhe-1  also called KY-1 </ref>,[empty],[empty]
Kosmos-3M,[empty],NPO Polyot,<ref></ref>,[empty],[empty]
Lambda 4S,[empty],Nissan Motors<ref name=Nissan></ref>,<ref name=ISAS/>,[empty],[empty]
Long March 1,[empty],CALT,<ref>astronautix.com  Long March 1  also called CZ-1</ref>,[empty],[empty]
Long March 1D,[empty],CALT,<ref>astronautix.com  Long March 1D (CZ-1D) </ref>,[empty],[empty]
[empty],[empty],CALT,<ref>astronautix.com Long March 2A - CZ-2A </ref>,[empty],[empty]
Long March 2E,[empty],CALT,<ref name=cz-2 />,[empty],[empty]
Long March 3,[empty],CALT,<ref name=cz-3 />,[empty],[empty]
Long March 3B,[empty],CALT,<ref name="LM3AUserManual" />,[empty],to SSO
Long March 4A,[empty],CALT,[empty],[empty],[empty]
M-V,[empty],<ref name=Nissan/> (1997–2000) <ref name=IHIAERO/> (2000-2006),<ref name=ISAS/>,[empty],[empty]
Molniya,[empty],RSC Energia,<ref>astronautix.com  Encyclopedia Astronautica  Molniya 8K78M </ref>,[empty],[empty]
Molniya-M,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Mu-3C,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3H,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3S,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-3SII,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS/>,[empty],[empty]
Mu-4S,[empty],Nissan Motors<ref name=Nissan/>,<ref name=ISAS></ref>,[empty],[empty]
N1,[empty],NPO Energia,<ref group="note" name="N4"/> <ref name="refN1-1"/><ref name="refN1-2"/><ref name="refN1-3"/>,[empty],[empty]
N-I,[empty],Mitsubishi,<ref>astronautix.com  N-I- Delta </ref>,[empty],[empty]
N-II,[empty],Mitsubishi,<ref>astronautix.com  Encyclopedia Astronautica  N-2 </ref>,[empty],[empty]
Naro-1,[empty],KARI/Khrunichev,<ref></ref>,[empty],[empty]
Paektusan,[empty],KCST,<ref>Korea  By Christoph Bluth </ref>,[empty],[empty]
Polyot,[empty],RSC Energia,[empty],[empty],[empty]
Proton-K,[empty],Khrunichev,<ref>Encyclopedia Astronautica  Proton-K </ref>,<ref></ref>,[empty]
PSLV-G,[empty],ISRO,<ref name="GSP-PSLV" />,[empty],to SSO
Saturn I,[empty],Chrysler (S-I)<br />Douglas (S-IV),<ref>astronautix.com  Saturn I </ref>,[empty],[empty]
Saturn IB,[empty],Chrysler (S-IB)<br />Douglas (S-IVB),<ref>Encyclopedia Astronautica  Saturn IB </ref>,[empty],[empty]
Saturn V,[empty],Boeing (S-IC) North American (S-II) Douglas (S-IVB),<ref name="Space-Launch Capabilities"></ref><ref name="Report of the Synthesis Group"></ref>,[empty],to TLI<ref name="Rocket and Space Technology"/>
Scout,[empty],US Air Force/NASA,<ref></ref>,[empty],[empty]
Shtil',[empty],Makeyev,280–420<ref></ref>,[empty],[empty]
SLV,[empty],ISRO,<ref name="slv-3"></ref>,[empty],[empty]
Soyuz,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-L,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-M,[empty],RSC Energia,[empty],[empty],[empty]
Soyuz-U,[empty],TsSKB-Progress,from Baikonour<ref name="soyuz-u launch vehicle"></ref> from Plesetsk<ref name="soyuz-u launch vehicle"/>,[empty],[empty]
Soyuz-U2,[empty],TsSKB-Progress,[empty],[empty],[empty]
Space Shuttle,[empty],ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),<ref group="note" name="spaceplane"/>,with IUS<ref name="gsp-shuttle"></ref> with PAM-D<ref></ref> }},to escape with IUS<ref name="gsp-shuttle" />
Sputnik 8K71PS,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Sputnik 8A91,[empty],RSC Energia,[empty],[empty],[empty]
Start-1,[empty],MITT,[empty],[empty],to SSO<ref></ref>
Strela,[empty],Khrunichev,<ref></ref>,[empty],[empty]
Titan II GLV,[empty],Martin Marietta,<ref>astronautix.com  Titan II GLV </ref>,[empty],[empty]
Titan II(23)G,[empty],Martin Marietta,<ref>astronautix.com  Titan 23G </ref>,[empty],[empty]
Titan IIIA,[empty],Martin Marietta,<ref>Encyclopedia Astronautica  Titan 3A </ref>,[empty],[empty]
Titan IIIB,[empty],Martin Marietta,<ref>Encyclopedia Astronautica  Titan 3B </ref>,[empty],[empty]
Titan IIIC,[empty],Martin Marietta,<ref>astronautix.com  Titan IIIC </ref>,[empty],[empty]
Titan IIID,[empty],Martin Marietta,<ref>astronautix.com  Titan IIID </ref>,[empty],[empty]
Titan IIIE,[empty],Martin Marietta,<ref>astronautix.com  Titan IIIE </ref>,[empty],[empty]
Titan 34D,[empty],Martin Marietta,<ref>astronautix.com  Titan 34D </ref>,[empty],[empty]
Titan IVA,[empty],Martin Marietta,<ref name="gsp-titan"></ref>,with IUS,to SSO<ref name="gsp-titan"/> to GSO with Centaur to escape with IUS }}
Titan IVB,[empty],Lockheed Martin,<ref name="titan4"></ref>,<ref name="titan4" /> (9.000 with upper stage),[empty]
Tsyklon-2A,[empty],Yuzhmash,<ref>astronautix.com  Tsyklon-2A </ref>,[empty],[empty]
Tsyklon-2,[empty],Yuzhmash,<ref>astronautix.com  Tsyklon-2 </ref>,[empty],[empty]
Tsyklon-3,[empty],Yuzhmash,<ref>nasaspaceflight.com  Tsyklon-3</ref>,[empty],[empty]
Vanguard,[empty],Martin,<ref>astronautix.com  vanguard </ref>,[empty],[empty]
VLS-1,[empty],AEB  IAE,<ref></ref>,[empty],[empty]
Volna,[empty],Makeyev,<ref></ref>,[empty],[empty]
Voskhod,[empty],RSC Energia,<ref>Handbook of Space Engineering  Archaeology  and Heritage by Ann Darrin  Beth L. O'Leary  page 116</ref>,[empty],[empty]
Vostok-L,[empty],RSC Energia,[empty],[empty],to TLI<ref></ref>
Vostok-K,[empty],RSC Energia,<ref name="Spacecraft - Vostok"></ref>,[empty],[empty]
Vostok-2,[empty],RSC Energia,<ref name="Spacecraft - Vostok"/>,[empty],[empty]
Vostok-2M,[empty],RSC Energia,<ref></ref>,[empty],[empty]
Soyuz/Vostok,[empty],RSC Energia,<ref>astronautix.com  Soyuz/Vostok </ref>,[empty],[empty]
Zenit-2,[empty],Yuzhnoye,<ref name="slr_zenit"></ref>,[empty],[empty]
Zenit-2M / 2SLB,[empty],Yuzhnoye,<ref name="slr_zenit"/>,[empty],[empty]
