Mozy,[empty],[empty],[empty],[empty],[empty],<ref name="autogenerated2">Mozy Help : Understanding MozyHome Encryption</ref>,<ref name="autogenerated2"/>,?,[empty],[empty],[empty],[empty],Mozy,[empty],[empty],[empty],[empty],[empty], ,[empty],<ref></ref>,[empty],[empty],[empty]
OneDrive,[empty],, see note<ref name="storagemadeeasy.com">Storage Made Easy supports OneDrive</ref>,[empty],<ref>Microsoft SkyDrive for Android app is now available</ref>,[empty],<ref>Skydrive secure storage features  Microsoft monitoring  censoring SkyDrive uploads? | WMPoweruser</ref>,[empty],?,[empty],[empty],[empty],[empty],OneDrive,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],, 29%<ref name=greenpeace_green_internet />
SpiderOak,[empty],[empty],[empty],[empty],[empty],<ref name="spideroak.com"></ref>,<ref>The company refers to this as "No Knowledge"</ref>,?,[empty],(min 10 users),[empty],[empty],SpiderOak,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://spideroak.com/manual/preferences </ref>,[empty]
Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location,Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
SugarSync,[empty],[empty],[empty],[empty],[empty],<ref>Data and File Security - Secure Online Backup – SugarSync</ref>,<ref>SugarSync password recovery</ref>,?,[empty],[empty],[empty],[empty],SugarSync,[empty],[empty],[empty],(SugarSync account needed for folders),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Syncplicity,[empty],[empty],[empty],[empty],[empty],<ref name="syncplicity1">Syncplicity User Manual / About Syncplicity </ref>,<ref name="syncplicity1"/>,?,[empty],[empty],[empty],[empty],Syncplicity,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tarsnap,[empty],[empty],[empty],[empty],[empty],Yes,<ref>Cryptography. Tarsnap (2009-09-04). Retrieved on 2013-08-10.</ref>,?,[empty],[empty],[empty],[empty],Tarsnap,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],, Amazon AWS<ref name=greenpeace_green_internet /><ref></ref>
Tencent Weiyun,[empty],[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],Tencent,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Trend Micro SafeSync,[empty],[empty],[empty],, via Storage Made Easy client,, via Storage Made Easy client,[empty],[empty],?,[empty],[empty],[empty],[empty],Trend Micro SafeSync,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tresorit,[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],<ref>https://tresorit.com/security</ref>,[empty],[empty],[empty],[empty],Tresorit,<ref>https://support.tresorit.com/hc/en-us/articles/219312887-How-to-enable-Tresorit-Drive-</ref>,[empty],[empty],[empty],[empty],<ref></ref>,<ref>https://support.tresorit.com/hc/en-us/articles/224348627-Does-Tresorit-have-a-free-plan- and https://tresorit.com/solo in FAQ "What happens if I cancel my trial or a subscription I'm paying for?"</ref>,<ref></ref>,[empty],[empty],[empty]
Unitrends Vault2Cloud,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],?,[empty],[empty],[empty],[empty],Unitrends Vault2Cloud,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UpdateStar Online Backup,[empty],[empty],[empty],[empty],[empty],<ref>UpdateStar - Simplify your software life</ref>,<ref>Even though UpdateStar allows you to manage your own private key  they also have an Encryption Key Recovery Service. How that exactly works is not clear from the website.</ref>,?,<ref>Server Edition</ref>,[empty],[empty],[empty],UpdateStar Online Backup,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Yandex.Disk,[empty],<ref></ref>,[empty],[empty],[empty],<ref>Questions and Answers</ref>,[empty],?,[empty],[empty],[empty],[empty],Yandex.Disk,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zetta.net,<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],<ref></ref>,[empty],Zetta.net,<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty]
Zmanda Cloud Backup,[empty],[empty],[empty],[empty],[empty],<ref name="zmanda1">Zcb Faq. Zmanda.com. Retrieved on 2013-08-10.</ref>,<ref name="zmanda1"/>,?,[empty],[empty],[empty],[empty],Zmanda Cloud Backup,[empty],[empty],[empty],[empty],[empty],,    ,[empty],[empty],[empty],[empty],, Amazon AWS or Google Cloud Storage<ref name=greenpeace_green_internet /><ref></ref>
Provider,Win.,Linux,Mac,Android,iOS,Encrypted storage,Zero knowledge,Secure Key Management,Limited MB plan,Unlimited MB plan,$/MB plan,Unlimited BW,Provider,Cloud hosted Net Drive,Sync,Autodetect changes,Public file hosting,physical media restore,Server location,Free online storage (non-trial),Maximum per-file size,External hard drive support,Hybrid Option,Green Hosting
