System,Documentation integration/generation  reporting,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA">System supports service level agreement management</ref>,Plugin API<ref name="ReferenceAPI">System has a plugin API to allow integration with other products</ref>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search
Supportworks,- Integrated reporting wizard  customizable PHP reporting tool  dashboard  optional interface with Crystal Reports  export to Microsoft Excel/CSV  knowledge base  optional asset management tool,[empty],[empty],[empty],[empty],[empty],<ref>5005 API exists but is undocumented</ref>,[empty],[empty],[empty],[empty]
SysAid,- LDAP/Email/Calendar integration  integrated Asset Management  integrated reporting  SSO  custom fields  export to CSV/PDF  KB,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Team Foundation Server,- workflow definitions  process documentation,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Teamwork,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,Uses Lucene,[empty]
TestTrack,- Advanced reporting  integrated charts  export to Excel  workflow with triggers,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
The Bug Genie,, integrated wiki,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Trac,, integrated wiki,<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],<ref></ref>,[empty]
TrackerSuite.Net,. Dashboards. Graphical reports. Integration with Crystal Reports. Reports can be exported to Microsoft Excel.,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tuleap,, Kanban boards  Scrum planning and burndown charts  pies  Gantt  barrs  cardwall  Document Manager with approval workflow and fine grained permissions  wikis,[empty],[empty],[empty],[empty],[empty],[empty],[empty],with plugin fulltext,with plugin fulltext,[empty]
Usersnap,. Dashboards  Help Center.,[empty],, via Tags.,[empty],[empty],, available for enterprise plans,[empty],[empty],[empty],[empty],[empty]
Wrike,, real-time customized reports  export to Excel  scheduled reports by mail  alerts  discussions  Gantt charts ,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
YouTrack,: Wiki syntax  custom workflow  custom issue attributes  notifications (email  jabber  RSS  etc.)  email integration  reports  export to HTML and CSV  integration with VCSs.,<ref></ref>,[empty],[empty],[empty],[empty],<ref></ref>,[empty],<ref></ref>,(Uses Lucene),[empty]
System,Dynamic documentation integration/generation,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA<ref name="ReferenceSLA"/>,Plugin API<ref name="ReferenceAPI"/>,Multiple projects,Full-text search,Indexed full-text search,Indexed file search
