Program,Operating systems,License,Protocols  based on  compatible with,Encryption,Other abilities,Key and target markets,Latest release
HERO Hosted PBX,Linux  Windows,,SIP,,Unified Communications  billing server  cloud-based management and web interface,Mid-large enterprises  VoIP carriers and service providers  telecom operators,4.3;
Kerio Operator,Linux  VM,,SIP,,integrated firewall  Auto attendant  Call queues  Conference calling  Call forwarding  pickup  parking  recording  Click to Call  Video calling  Fax support  Paging  Salesforce.com and CRM integration  Voicemail to email  complementary desktop Softphone app,SME,2.5.2;
MediaCore SBC,Linux,,H.323  SIP  SMPP,,Dynamic routing mechanism including LCR  Jurisdictional routing support  A-number based routing for EU-based providers)  integrated billing  SIP-H.323 protocol converter  Transcoding - codec converter module  Guardian - revenue assurance module  SBC functionality  full and media proxy  Carrier SMS support,Transit VoIP services providers  VoIP wholesale carriers  VoIP termination providers  SMS carriers,4.6.1;
Murmur,Linux  BSD  macOS  Windows,,CELT  Speex  Opus,,Chat with (limited) embedded HTML  ACLs for user management  Customizable In-Game Overlay  Directional Audio  Plugin Support  Nested Channels,Individuals to Small and medium enterprise (25-5000 users),1.2.17;
Mysipswitch,Linux,,SIP  Ajax,,SIP proxy server which allows the use of multiple SIP accounts with a single SIP login,Individuals,
Objectworld UC Server,Windows XP-2003-2008,,SIP,,IP PBX  personal assistants  IVR  automated phone provisioning  fax server  unified messaging  Outlook  Exchange and Lotus Domino-Notes integration  conferencing  outbound dialing,Small and medium enterprise (25-2000 users),4.4.2;
Kamailio  OpenSIPS (formerly named OpenSER),Linux  BSD  Solaris,,SIP  XMPP,,SIP registrar-proxy  authentication  Diameter  RADIUS  ENUM  least-cost-routing  many others,SIP Service Providers,
pascom Phone System,Cloud  Linux and Unix variations  VMWare  Hardware  ISO,,SIP  XMPP,,IP PBX  Business IP telephony and conferencing  softphone  Fixed mobile convergence  softphone  mobile VoIP app (Android & iOS)  voicemail  unified messaging  IVR  automated phone provisioning  fax server  hot-desking  call queuing  automated call distribution  skills-based routing  Outlook  Office365 and Exchange integration,SMEs and larger enterprises (3- 1000+ users),pascom 18.02 ;
Pbxnsip,Linux  BSD  macOS  Windows,,SIP,,IP PBX  presence indication  IVR  automated phone provisioning  fax server  unified messaging  Outlook  Exchange integration  conferencing  outbound dialing,Small and medium enterprise (25-256 users),3.3.1.3177;
SIP Express Router (SER),Linux  BSD  Solaris,,SIP,,SIP Registrar/Proxy  Authentication  Diameter  RADIUS  ENUM  many others,SIP Service Providers,2.0.0 Ottendorf
sipXecs IP PBX,Linux,,Native SIP call control  XMPP,,Full redundancy (HA)  instant messaging  voicemail  user portal  admin GUI  plug & play management including phones and gateways  fully featured,Enterprises between 10 and 10.000 users  multi-site,14.04.2;
vzRoom,Windows,,SIP,,Instant messaging-chat  VoIP  video  sharing (desktop  video  file)  whiteboard  scheduler  recording,Individual to small and medium enterprise (2-1.000 users),0.8.8.735;
Yate,BSD  Linux  macOS  Windows,,SIP  IAX  H.323  ISDN  XMPP (Jabber)  Jingle (Google Talk)  MGCP  SS7 over IP  Cisco SLT (Signalling Link Transport) (SS7 MTP2 backhaul over IP)  SCTP  SCCP  TCAP  MAP CAMEL,,Voice  video  file transfer  data  H323 to SIP signalling proxy  instant messaging  IVR  PC2Phone and Phone2PC gateway  SCCP — GTT routing between networks  Secure Unified Communications  SIP registrar-proxy  SIP SBC (session border controller)  USSD  voicemail  VoIP  VoIP to PSTN gateway  conference server (max 200 voice channels per conference)  call centre server  prepaid and postpaid cards,Deployed on home servers and large networks with millions of users,5.5;
